compnumber,longname,shortname,status,countrycode,region,cik,mic,ticker,exchange,country
192,"Alico, Inc.","Alico, Inc.",Active,USA,North America,3545.0,1.1.1,ALCO,NMS,USA
50556,Alleghany Corp.,Alleghany Corp. (New),Active,USA,North America,775368.0,5.2.1,Y,NYS,USA
345,American Express Co.,American Express Co.,Active,USA,North America,4962.0,5.4.1,AXP,NYS,USA
372,American International Group Inc,American International Group Inc,Active,USA,North America,5272.0,5.2.1,AIG,NYS,USA
26170,"American National Bankshares, Inc. (Danville, VA)",American National Bankshares,Active,USA,North America,741516.0,5.1.1,AMNB,NMS,USA
10915,American National Group Inc,American National Group Inc,Active,USA,North America,1801075.0,5.2.2,ANAT,NMS,USA
17982,Ames National Corp.,Ames National Corp.,Active,USA,North America,1132651.0,5.1.1,ATLO,NAS,USA
9995,Ampal-American Israel Corp.,Ampal-American Israel Corp.,Active,USA,North America,731859.0,5.5.3,AMPL Q,NBB,USA
63231,Arrow Financial Corp.,Arrow Financial Corp.,Active,USA,North America,717538.0,5.1.1,AROW,NMS,USA
613,Associated Banc-Corp,Associated Banc-Corp,Active,USA,North America,7789.0,5.1.1,ASB,NYS,USA
746,Protective Insurance Corp,Protective Insurance Corp,Active,USA,North America,9346.0,5.2.1,PTVC B,NMS,USA
63497,"BancFirst Corp. (Oklahoma City, Okla)","BancFirst Corp. (Oklahoma City, OK)",Active,USA,North America,760498.0,5.1.1,BANF,NMS,USA
806,Bank of Nova Scotia Halifax,Bank Nova Scotia Halifax,Active,CAN,North America,9631.0,5.1.1,BNS,NYS,CAN
25971,Bar Harbor Bankshares,Bar Harbor Bankshares,Active,USA,North America,743367.0,5.1.1,BHB,ASE,USA
966,Berkley (WR) Corp,WR Berkley Corp,Active,USA,North America,11544.0,5.2.1,WRB,NYS,USA
969,Berkshire Hathaway Inc,Berkshire Hathaway Inc,Active,USA,North America,1067983.0,5.2.1,BRK A,NYS,USA
49441,Bryn Mawr Bank Corp,Bryn Mawr Bank Corp,Active,USA,North America,802681.0,5.1.1,BMTC,NMS,USA
46348,"Capital City Bank Group, Inc.","Capital City Bank Group, Inc",Active,USA,North America,726601.0,5.1.1,CCBG,NMS,USA
1428,Capital Southwest Corp.,Capital Southwest Corp.,Active,USA,North America,17313.0,5.5.3,CSWC,NMS,USA
44046,Capstead Mortgage Corp.,Capstead Mortgage Corp.,Active,USA,North America,766701.0,5.3.1,CMO,NYS,USA
17040,"Century Bancorp, Inc.","Century Bancorp, Inc. (MA)",Active,USA,North America,812348.0,5.1.1,CNBK A,NMS,USA
